tstep_number|time|error_1|error_2
184|0.552|0.00029400231226401447|0.0034170417503618772
185|0.555|0.00028704730884861727|0.0033189727999141413
186|0.558|0.0002802486519208959|0.003223718424102788
187|0.561|0.0002736031164965781|0.0031311978447574242
188|0.564|0.00026710753332536487|0.003041332602037769
189|0.567|0.00026075878836549917|0.002954046487897469
190|0.57|0.00025455382224240006|0.0028692654814578755
191|0.573|0.00024848962969207193|0.0027869176862362773
192|0.576|0.0002425632589913111|0.0027069332691759926
193|0.579|0.00023677181137534697|0.0026292444014260103
194|0.582|0.00023111244044428134|0.0025537852008203875
195|0.585|0.00022558235155981205|0.0024804916760085166
196|0.588|0.00022017880123284303|0.0024093016721887664
197|0.591|0.00021489909650318392|0.0023401548183996715
198|0.594|0.0002097405943124158|0.0022729924763236916
199|0.597|0.0002047007008706923|0.0022077576905605227
200|0.6|0.00019977687101835982|0.0021443951403273664
201|0.603|0.00019496660758334727|0.0020828510925454454
202|0.606|0.0001902674607349928|0.0020230733562730824
203|0.609|0.0001856770273350682|0.0019650112384463213
204|0.612|0.00018119295028689892|0.0019086155008900226
205|0.615|0.00017681291788258248|0.0018538383185624366
206|0.618|0.00017253466315008325|0.0018006332389985382
207|0.621|0.00016835596319963441|0.0017489551429169905
208|0.624|0.00016427463857065968|0.001698760205957904
209|0.627|0.0001602885525795833|0.001650005861518597
210|0.63|0.00015639561066903965|0.00160265076465606
211|0.633|0.00015259375975889457|0.0015566547570253495
212|0.636|0.00014888098759956959|0.0015119788328243056
213|0.639|0.00014525532212806031|0.0014685851057156052
214|0.642|0.00014171483082704397|0.0014264367766981551
215|0.645|0.00013825762008734234|0.001385498102900569
216|0.648|0.00013488183457433677|0.001345734367270356
217|0.651|0.00013158565659841378|0.0013071118491329266
218|0.654|0.00012836730548968734|0.0012695977955956385
219|0.657|0.00012522503697748655|0.00123316039377237
220|0.66|0.00012215714257474874|0.0011977687438054997
221|0.663|0.00011916194896762878|0.0011633928326620037
222|0.666|0.00011623781741025075|0.001130003508681564
223|0.669|0.00011338314312528381|0.0010975724568552559
224|0.672|0.00011059635471020706|0.001066072174813746
225|0.675|0.00010787591354936984|0.0010354759495044272
226|0.678|0.00010522031323218235|0.0010057578345381627
227|0.681|0.00010262807897777816|0.0009768926281861492
228|0.684|0.0001000977670655159|0.0009488558520079858
229|0.687|9.7627964272437e-05|0.0009216237300935678
230|0.69|9.521728731688606e-05|0.0008951731689002461
231|0.693|9.286438230926275e-05|0.0008694817376692261
232|0.696|9.056792420888423e-05|0.0008445276494033507
233|0.699|8.832661628819944e-05|0.0008202897423914569
234|0.702|8.613918960356672e-05|0.0007967474622625139
235|0.705|8.400440247306924e-05|0.0007738808445550595
236|0.708|8.192103996122377e-05|0.0007516704977868257
237|0.711|7.98879133707577e-05|0.0007300975870102098
238|0.714|7.79038597413509e-05|0.000709143817839861
239|0.717|7.596774135540981e-05|0.0006887914209384383
240|0.72|7.407844525096956e-05|0.0006690231369478508
241|0.723|7.223488274150854e-05|0.0006498222018528349
242|0.726|7.043598894293188e-05|0.0006311723327645932
243|0.729|6.868072230764876e-05|0.0006130577141125467
244|0.732|6.696806416566539e-05|0.0005954629842324198
245|0.735|6.529701827236859e-05|0.0005783732223388148
246|0.738|6.366661036406331e-05|0.0005617739358724669
247|0.741|6.207588771956838e-05|0.0005456510482097683
248|0.744|6.052391872947094e-05|0.0005299908867256613
249|0.747|5.900979247192273e-05|0.0005147801711988362
250|0.75|5.7532618295498314e-05|0.0005000060025497716
251|0.753|5.609152540862932e-05|0.0004856558519019373
252|0.756|5.4685662476097826e-05|0.0004717175499570686
253|0.759|5.3314197222075956e-05|0.00045817927667520815
254|0.762|5.1976316039845456e-05|0.0004450295512509394
255|0.765|5.067122360840001e-05|0.0004322572223776365
256|0.768|4.939814251522664e-05|0.0004198514587906076
257|0.771|4.815631288584969e-05|0.0004078017400819913
258|0.774|4.694499201971762e-05|0.0003960978477791249
259|0.777|4.576345403262003e-05|0.00038472985667915854
260|0.78|4.4610989505257125e-05|0.0003736881264320859
261|0.783|4.34869051381177e-05|0.000362963293365535
262|0.786|4.2390523412610074e-05|0.0003525462625441828
263|0.789|4.132118225816407e-05|0.0003424282000568393
264|0.792|4.027823472560913e-05|0.0003326005255252902
265|0.795|3.9261048666260145e-05|0.00032305490482776016
266|0.798|3.826900641714888e-05|0.00031378324303143676
267|0.801|3.730150449180514e-05|0.000304777677527607
268|0.804|3.6357953277212794e-05|0.0002960305713642388
269|0.807|3.5437776736098596e-05|0.0002875345067694853
270|0.81|3.4540412114789625e-05|0.00027928227886112094
271|0.813|3.36653096569378e-05|0.00027126688953681166
272|0.816|3.281193232246111e-05|0.00026348154153942895
273|0.819|3.197975551187935e-05|0.0002559196326928916
274|0.822|3.1168266795962964e-05|0.00024857475030315597
275|0.825|3.0376965650673575e-05|0.0002414406657203384
276|0.828|2.9605363197288127e-05|0.0002345113290564992
277|0.831|2.8852981947424967e-05|0.0002277808640552168
278|0.834|2.811935555317957e-05|0.00022124356310838532
279|0.837|2.7404028562282284e-05|0.00021489388241602455
280|0.84|2.6706556177824497e-05|0.0002087264372849076
281|0.843|2.6026504023094597e-05|0.00020273599756232647
282|0.846|2.536344791087432e-05|0.00019691748320066965
283|0.849|2.471697361746778e-05|0.0001912659599495428
284|0.852|2.4086676661211634e-05|0.00018577663517127372
285|0.855|2.3472162085543763e-05|0.00018044485377675438
286|0.858|2.2873044246367813e-05|0.00017526609427765126
287|0.861|2.2288946603780736e-05|0.00017023596495219673
288|0.864|2.1719501518117196e-05|0.0001653502001207931
289|0.867|2.1164350050192567e-05|0.0001606046565287521
290|0.87|2.0623141765484042e-05|0.00015599530983256176
291|0.873|2.009553454246556e-05|0.0001515182511871847
292|0.876|1.9581194385103623e-05|0.00014716968393132686
293|0.879|1.907979523878898e-05|0.0001429459203676334
294|0.882|1.859101881054028e-05|0.00013884337863550632
295|0.885|1.8114554392909113e-05|0.00013485857967365648
296|0.888|1.765009869130494e-05|0.00013098814426971422
297|0.891|1.719735565513722e-05|0.00012722879019443325
298|0.894|1.675603631265331e-05|0.00012357732941851968
299|0.897|1.6325858609107712e-05|0.00012003066540894553
300|0.9|1.5906547248274975e-05|0.0001165857905030426
301|0.903|1.5497833537688908e-05|0.00011323978335797119
302|0.906|1.5099455236720752e-05|0.00010998980647322436
303|0.909|1.4711156408361828e-05|0.00010683310378451859
304|0.912|1.4332687273858947e-05|0.00010376699832645763
305|0.915|1.3963804070618014e-05|0.00010078888996239138
306|0.918|1.3604268913263228e-05|9.78962531795869e-05
307|0.921|1.325384965754196e-05|9.508663494737867e-05
308|0.924|1.2912319767126856e-05|9.23576526369152e-05
309|0.927|1.2579458183599398e-05|8.970699200071493e-05
310|0.93|1.2255049199027204e-05|8.713240521012405e-05
311|0.933|1.1938882331503502e-05|8.463170894911637e-05
312|0.936|1.163075220300603e-05|8.220278256257619e-05
313|0.939|1.1330458420763269e-05|7.984356625833994e-05
314|0.942|1.1037805460112449e-05|7.755205935995543e-05
315|0.945|1.0752602551066676e-05|7.532631861050077e-05
316|0.948|1.047466356639549e-05|7.316445652420752e-05
317|0.951|1.020380691317739e-05|7.106463978634499e-05
318|0.954|9.939855425695193e-06|6.902508769802229e-05
319|0.957|9.682636261677708e-06|6.704407066646017e-05
320|0.96|9.431980800112956e-06|6.511990873798536e-05
321|0.963|9.18772454189335e-06|6.325097017362161e-05
322|0.966|8.949707012424943e-06|6.143567006527629e-05
323|0.969|8.71777166626677e-06|5.967246899149182e-05
324|0.972|8.491765794269559e-06|5.7959871712269214e-05
325|0.975|8.271540432618313e-06|5.629642590088626e-05
326|0.978|8.056950273921693e-06|5.4680720912381615e-05
327|0.981|7.847853580184277e-06|5.311138658713263e-05
328|0.984|7.644112098182072e-06|5.15870920891871e-05
329|0.987|7.4455909761667425e-06|5.010654477738355e-05
330|0.99|7.25215868296237e-06|4.8668489109404585e-05
331|0.993|7.063686928625775e-06|4.727170557690484e-05
332|0.996|6.880050587015292e-06|4.591500967136669e-05
333|0.999|6.701127620072398e-06|4.4597250879609784e-05
334|1.002|6.526799003985154e-06|4.3317311708199954e-05
335|1.005|6.35694865671365e-06|4.207410673564156e-05
336|1.008|6.191463367589035e-06|4.0866581692040454e-05
337|1.011|6.030232728289685e-06|3.969371256498103e-05
338|1.014|5.873149065333542e-06|3.8554504731139625e-05
339|1.017|5.720107374360605e-06|3.744799211286398e-05
340|1.02|5.571005255817676e-06|3.637323635887762e-05
341|1.023|5.425742852019006e-06|3.5329326048504595e-05
342|1.026|5.284222786009237e-06|3.431537591894468e-05
343|1.029|5.1463501012299946e-06|3.333052611418243e-05
344|1.032|5.012032203359408e-06|3.2373941456231994e-05
345|1.035|4.881178802959044e-06|3.144481073664222e-05
346|1.038|4.75370185946533e-06|3.054234602851042e-05
347|1.041|4.6295155268343945e-06|2.9665782018491533e-05
348|1.044|4.5085361001140074e-06|2.8814375357586947e-05
349|1.047|4.390681963597808e-06|2.7987404031042528e-05
350|1.05|4.275873539864745e-06|2.7184166745877915e-05
351|1.053|4.164033239986036e-06|2.6403982335991838e-05
352|1.056|4.055085415345933e-06|2.5646189184841886e-05
353|1.059|3.948956310422029e-06|2.491014466442814e-05
354|1.062|3.845574016127452e-06|2.419522458994343e-05
355|1.065|3.744868424932978e-06|2.350082269062522e-05
356|1.068|3.6467711869312423e-06|2.2826350095793245e-05
357|1.071|3.5512156667296633e-06|2.2171234835325155e-05
358|1.074|3.4581369012772063e-06|2.1534921354496404e-05
359|1.077|3.3674715590608943e-06|2.0916870043002112e-05
360|1.08|3.2791579001848082e-06|2.0316556777447233e-05
361|1.083|3.193135736933736e-06|1.973347247662421e-05
362|1.086|3.109346396017844e-06|1.9167122670015084e-05
363|1.089|3.0277326810393135e-06|1.861702707835765e-05
364|1.092|2.9482388362771253e-06|1.808271920638812e-05
365|1.095|2.870810511207028e-06|1.75637459472354e-05
366|1.098|2.795394725797916e-06|1.7059667198195113e-05
367|1.101|2.7219398367249944e-06|1.6570055487456815e-05
368|1.104|2.6503955043908878e-06|1.6094495611645506e-05
369|1.107|2.5807126606851936e-06|1.563258428367812e-05
370|1.11|2.5128434775776137e-06|1.5183929790858911e-05
371|1.113|2.446741336448976e-06|1.4748151662567731e-05
372|1.116|2.382360798054056e-06|1.432488034771163e-05
373|1.119|2.319657573418015e-06|1.3913756901285226e-05
374|1.122|2.258588495216422e-06|1.3514432679980886e-05
375|1.125|2.199111490005816e-06|1.3126569046546704e-05
376|1.128|2.141185550989863e-06|1.2749837082598346e-05
377|1.131|2.0847707117328293e-06|1.2383917309795599e-05
378|1.134|2.029828019871854e-06|1.2028499418629504e-05
379|1.137|1.9763195122570924e-06|1.1683282005547774e-05
380|1.14|1.9242081902043154e-06|1.1347972317289737e-05
381|1.143|1.87345799544537e-06|1.1022286002592097e-05
382|1.146|1.8240337866278729e-06|1.070594687100974e-05
383|1.149|1.7759013166328589e-06|1.0398686658828046e-05
384|1.152|1.7290272100590949e-06|1.0100244801509326e-05
385|1.155|1.6833789414048756e-06|9.810368212544057e-06
386|1.158|1.638924814051269e-06|9.528811069149931e-06
387|1.161|1.5956339393523056e-06|9.255334603593338e-06
388|1.164|1.55347621647878e-06|8.989706900767624e-06
389|1.167|1.51242231263198e-06|8.731702701513087e-06
390|1.17|1.4724436439126489e-06|8.481103211620686e-06
391|1.173|1.4335123563474384e-06|8.23769591623587e-06
